gene_names,BRCA
ATP5MF,
SSX2,SSX2IP;SSX2
ARPC4,ARPC4
MTFP1,
SNHG3,SNHG3-RCC1;SNHG3
MICAL3,MICAL3
MRPS31P5,
TMEM158,TMEM158
YJEFN3,YJEFN3
MPV17L2,MPV17L2
ATP6V1G2-DDX39B,
CSPG4P12,
LINC00662,
CORO7,CORO7
TIMM23,
LINC01029,
BAHCC1,BAHCC1
NBPF8,
GAGE2E,
ARHGAP23,ARHGAP23
U2AF1L5,
RN7SL1,
H2BC7,
MRPL45,MRPL45
OR51B2,
FAM138F,FAM138F
